timestamp_ms,operation,latency_ms,hop_count,key,extra
1779294417993,PUT,95,4,benchKey_0_2,bytes=28;client_id=0;clients=20;active_nodes=3
1779294417991,PUT,93,4,benchKey_7_2,bytes=28;client_id=7;clients=20;active_nodes=3
1779294417998,PUT,102,4,benchKey_12_2,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418034,PUT,57,4,benchKey_9_3,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418061,PUT,86,4,benchKey_6_3,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418064,PUT,88,4,benchKey_15_3,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418072,PUT,91,4,benchKey_8_3,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418073,PUT,91,4,benchKey_5_3,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418073,PUT,86,4,benchKey_18_3,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418075,PUT,91,4,benchKey_1_3,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418076,PUT,91,4,benchKey_14_3,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418080,PUT,89,4,benchKey_2_3,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418082,PUT,92,4,benchKey_13_3,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418083,PUT,91,4,benchKey_16_3,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418085,PUT,90,4,benchKey_3_3,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418089,PUT,92,4,benchKey_10_3,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418091,PUT,90,4,benchKey_12_3,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418092,PUT,95,4,benchKey_11_3,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418090,PUT,91,4,benchKey_0_3,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418090,PUT,91,4,benchKey_19_3,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418090,PUT,91,4,benchKey_4_3,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418090,PUT,97,4,benchKey_17_3,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418089,PUT,88,4,benchKey_7_3,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418120,PUT,85,4,benchKey_9_4,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418149,PUT,86,4,benchKey_6_4,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418150,PUT,85,4,benchKey_15_4,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418159,PUT,86,4,benchKey_8_4,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418160,PUT,86,4,benchKey_5_4,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418160,PUT,85,4,benchKey_18_4,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418163,PUT,87,4,benchKey_1_4,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418162,PUT,85,4,benchKey_14_4,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418165,PUT,84,4,benchKey_2_4,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418167,PUT,84,4,benchKey_13_4,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418174,PUT,89,4,benchKey_16_4,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418175,PUT,89,4,benchKey_3_4,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418177,PUT,84,4,benchKey_12_4,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418179,PUT,85,4,benchKey_10_4,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418183,PUT,89,4,benchKey_11_4,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418178,PUT,84,4,benchKey_19_4,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418182,PUT,86,4,benchKey_17_4,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418182,PUT,86,4,benchKey_4_4,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418181,PUT,87,4,benchKey_0_4,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418184,PUT,87,4,benchKey_7_4,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418205,PUT,84,4,benchKey_9_5,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418220,PUT,45,4,benchKey_16_5,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418229,PUT,44,4,benchKey_17_5,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418235,PUT,85,4,benchKey_15_5,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418235,PUT,86,4,benchKey_6_5,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418249,PUT,87,4,benchKey_8_5,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418251,PUT,87,4,benchKey_18_5,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418252,PUT,86,4,benchKey_2_5,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418252,PUT,88,4,benchKey_14_5,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418249,PUT,87,4,benchKey_5_5,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418253,PUT,85,4,benchKey_13_5,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418251,PUT,86,4,benchKey_1_5,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418261,PUT,84,4,benchKey_3_5,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418266,PUT,86,4,benchKey_12_5,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418267,PUT,84,4,benchKey_10_5,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418270,PUT,86,4,benchKey_11_5,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418270,PUT,85,4,benchKey_4_5,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418271,PUT,86,4,benchKey_19_5,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418273,PUT,86,4,benchKey_7_5,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418274,PUT,86,4,benchKey_0_5,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418299,PUT,93,4,benchKey_9_6,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418306,PUT,85,4,benchKey_16_6,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418321,PUT,92,4,benchKey_17_6,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418322,PUT,86,4,benchKey_15_6,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418325,PUT,89,4,benchKey_6_6,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418339,PUT,87,4,benchKey_18_6,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418340,PUT,84,4,benchKey_1_6,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418340,PUT,85,4,benchKey_5_6,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418341,PUT,91,4,benchKey_8_6,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418342,PUT,87,4,benchKey_14_6,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418342,PUT,89,4,benchKey_2_6,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418343,PUT,88,4,benchKey_13_6,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418349,PUT,88,4,benchKey_3_6,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418352,PUT,85,4,benchKey_12_6,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418352,PUT,84,4,benchKey_10_6,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418354,PUT,83,4,benchKey_19_6,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418361,PUT,90,4,benchKey_4_6,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418361,PUT,87,4,benchKey_7_6,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418363,PUT,89,4,benchKey_0_6,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418363,PUT,93,4,benchKey_11_6,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418388,PUT,87,4,benchKey_9_7,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418391,PUT,50,4,benchKey_5_7,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418393,PUT,86,4,benchKey_16_7,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418409,PUT,86,4,benchKey_15_7,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418410,PUT,88,4,benchKey_17_7,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418411,PUT,85,4,benchKey_6_7,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418424,PUT,85,4,benchKey_18_7,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418427,PUT,85,4,benchKey_8_7,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418427,PUT,86,4,benchKey_1_7,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418427,PUT,85,4,benchKey_14_7,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418430,PUT,87,4,benchKey_2_7,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418430,PUT,86,4,benchKey_13_7,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418437,PUT,85,4,benchKey_12_7,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418437,PUT,87,4,benchKey_3_7,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418439,PUT,84,4,benchKey_19_7,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418440,PUT,87,4,benchKey_10_7,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418447,PUT,85,4,benchKey_4_7,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418448,PUT,86,4,benchKey_7_7,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418448,PUT,84,4,benchKey_0_7,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418448,PUT,83,4,benchKey_11_7,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418473,PUT,84,4,benchKey_9_8,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418474,PUT,82,4,benchKey_5_8,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418479,PUT,85,4,benchKey_16_8,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418494,PUT,85,4,benchKey_15_8,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418495,PUT,83,4,benchKey_6_8,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418495,PUT,84,4,benchKey_17_8,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418509,PUT,84,4,benchKey_18_8,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418511,PUT,83,4,benchKey_8_8,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418512,PUT,85,4,benchKey_14_8,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418513,PUT,85,4,benchKey_1_8,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418513,PUT,82,4,benchKey_2_8,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418515,PUT,84,4,benchKey_13_8,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418521,PUT,83,4,benchKey_3_8,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418521,PUT,82,4,benchKey_19_8,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418522,PUT,82,4,benchKey_10_8,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418524,PUT,86,4,benchKey_12_8,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418529,PUT,82,4,benchKey_4_8,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418530,PUT,82,4,benchKey_7_8,bytes=28;client_id=7;clients=20;active_nodes=3
